step,molindx,prediction_error,predicted_value,true_value,mae
334,3798,8.2848,2.6298,-5.6550,1.7341
336,4434,8.1740,4.9484,13.1224,1.6100
337,4185,8.5497,3.7937,-4.7560,1.6777
338,2882,8.1967,-0.8066,7.3902,1.6581
339,1929,8.1734,-0.8800,-9.0534,1.6634
342,1420,8.2054,3.5277,-4.6777,1.7321
345,2621,9.1488,-1.0471,8.1017,1.7310
347,1039,8.0436,4.3856,12.4292,1.6817
354,3805,8.5713,3.9661,-4.6052,1.6838
371,2059,8.2433,2.0887,10.3320,1.6443
377,2542,8.1186,3.3639,11.4825,1.7340
382,1866,8.0656,5.4075,13.4730,1.7417
383,4088,8.0452,3.4400,-4.6052,1.6165
386,4574,8.1449,2.9615,11.1065,1.6382
388,3594,7.9783,3.1624,-4.8159,1.6638
409,2926,8.2568,5.3844,13.6412,1.6775
410,4171,7.8218,-1.1372,6.6846,1.6442
411,2389,7.6825,2.0226,9.7050,1.6936
415,4100,7.8167,-2.5362,-10.3529,1.7216
417,2927,7.4655,5.8224,13.2879,1.7293
418,4225,7.6305,3.0347,-4.5959,1.5513
419,3725,7.4259,4.3021,11.7280,1.6949
424,2773,7.5037,-2.3998,-9.9035,1.7602
425,3127,7.3214,2.2542,-5.0672,1.6173
427,1844,7.3504,6.3784,13.7289,1.5686
429,1751,7.3373,-0.5350,6.8023,1.6640
431,3682,7.3587,-1.9050,5.4537,1.6397
432,4194,7.3130,-1.0402,6.2729,1.6601
433,3224,7.1927,5.7066,12.8994,1.5636
437,3648,7.3102,1.5435,8.8537,1.7157
443,3502,7.4875,0.5796,-6.9078,1.6549
445,1571,7.2237,7.8115,0.5878,1.5895
450,3572,7.1901,4.7674,11.9575,1.5576
453,1676,7.3086,1.5451,8.8537,1.7079
459,4563,7.1942,1.5946,-5.5996,1.6621
464,4047,7.9246,-0.5981,7.3265,1.6372
474,3017,7.7635,2.3631,10.1266,1.6761
484,3380,7.3263,2.2895,9.6158,1.5957
488,4166,7.5020,4.2733,11.7753,1.6222
507,4036,7.2972,3.4172,10.7144,1.6859
510,2289,7.4044,0.8180,-6.5864,1.5597
515,884,7.2102,5.6890,12.8992,1.6139
536,3223,6.8815,7.5747,0.6932,1.5406
537,554,6.4625,6.2393,-0.2231,1.6235
538,3692,7.4331,-0.1678,-7.6009,1.5726
539,2977,7.0137,0.1059,-6.9078,1.5763
540,4276,7.3357,2.9149,10.2506,1.6289
541,2526,6.9109,3.3643,-3.5467,1.6679
544,1000,6.7147,7.6514,0.9367,1.5696
547,1006,6.6697,2.0645,-4.6052,1.6051
549,3045,6.5612,7.1265,13.6877,1.6744
550,4081,6.9609,1.5108,8.4717,1.6466
551,0,6.8694,3.9462,10.8156,1.6603
552,2240,6.7460,-1.8043,4.9416,1.6612
554,2610,6.6989,5.0992,11.7981,1.6191
556,3407,7.7748,-0.8670,6.9078,1.6543
557,4398,6.5963,6.9017,13.4981,1.6709
562,3452,6.7297,2.0911,8.8208,1.6248
563,963,6.5259,6.8741,13.4000,1.5480
564,1982,6.7194,3.3669,-3.3524,1.5970
565,2157,6.5274,2.6829,9.2103,1.6221
566,2131,6.5419,1.1157,-5.4261,1.6182
568,4052,7.0223,6.9280,-0.0943,1.6070
569,3729,7.2031,1.4094,8.6125,1.5691
570,234,6.7397,-2.2083,-8.9480,1.6096
572,4544,6.7323,-0.1812,6.5511,1.7030
576,2058,6.6014,-0.1076,-6.7089,1.7022
577,1392,6.6247,6.7993,13.4240,1.5876
578,189,6.5850,-2.0947,-8.6797,1.5779
579,1316,6.5197,4.7563,11.2760,1.5681
583,3739,6.5514,5.7900,12.3415,1.6538
584,4079,6.5006,-3.5049,2.9957,1.5955
587,2760,7.3487,0.4409,-6.9078,1.5312
588,2007,6.7096,-2.7976,3.9120,1.6376
590,2814,6.4943,6.3889,-0.1054,1.5807
595,3703,6.5449,1.6438,8.1887,1.6501
609,1160,6.6096,-6.9663,-0.3567,1.6110
611,2271,6.7412,5.3814,12.1227,1.6071
616,3635,6.4939,1.6927,-4.8012,1.6349
625,1406,6.8568,5.0848,-1.7720,1.6358
627,1383,6.5947,6.3195,12.9142,1.5821
628,3197,6.5294,0.3783,6.9078,1.6410
629,2149,6.4681,6.3627,-0.1054,1.5934
633,2819,6.6099,1.7816,-4.8283,1.6634
646,1378,6.5046,6.9824,13.4870,1.6235
667,3839,5.9910,0.4548,6.4457,1.6385
668,3159,6.1577,-0.3314,-6.4891,1.5630
669,3994,6.2852,6.4676,0.1824,1.5429
670,4327,6.4221,-0.3015,-6.7236,1.6399
671,4298,6.3451,6.5541,12.8992,1.5995
672,4601,6.3013,5.1619,-1.1394,1.5745
673,864,6.0393,7.7632,13.8024,1.5927
674,2644,6.3876,7.5784,1.1909,1.5456
675,898,6.2826,3.7162,9.9988,1.6620
676,339,6.1978,7.1777,13.3755,1.6273
677,1840,6.1361,7.6267,1.4907,1.5975
678,4184,6.3135,3.8716,-2.4419,1.4749
679,4312,5.9851,-2.4187,-8.4039,1.6460
680,4579,6.2121,4.0405,-2.1716,1.5942
681,2772,6.7233,4.7897,11.5129,1.5940
682,3901,6.1303,7.0664,0.9361,1.5245
683,3395,6.0865,0.3618,6.4483,1.5277
684,4027,6.1676,6.8354,0.6678,1.5667
685,3826,5.8181,7.6264,1.8083,1.5656
686,4235,5.9753,-1.1712,4.8040,1.5418
687,4025,5.9650,3.8387,9.8037,1.5409
688,2388,5.8968,-1.4577,4.4391,1.5332
689,327,5.9815,7.6368,13.6183,1.6417
690,3879,5.8761,4.7205,10.5966,1.6129
692,4129,6.3634,0.7266,7.0901,1.6142
693,876,6.5341,2.9621,-3.5720,1.5268
694,45,5.8684,7.5422,13.4106,1.5286
695,1643,6.3567,1.7428,8.0996,1.5682
696,513,5.9096,2.7630,-3.1466,1.5688
697,1644,6.4522,4.7993,11.2516,1.5473
698,4595,6.2242,0.8490,7.0733,1.5543
700,3793,6.2104,6.4875,0.2771,1.5870
701,1965,6.2099,6.9125,13.1224,1.4854
702,1052,5.9265,6.3188,12.2453,1.5470
703,346,5.8960,7.8361,13.7321,1.5189
704,1848,6.0257,0.9773,7.0031,1.6549
705,2616,6.1493,1.8065,-4.3428,1.5838
706,4352,5.8330,3.7127,-2.1203,1.5332
708,3055,5.9121,6.4337,12.3458,1.5756
709,2259,5.8820,-2.4808,3.4012,1.4879
710,3262,6.4180,1.5426,7.9606,1.5734
711,4270,5.9508,2.4483,8.3991,1.5653
715,178,5.8221,-2.0020,-7.8240,1.5199
720,3375,6.0195,2.4977,8.5172,1.5855
722,4148,5.8668,3.2870,9.1538,1.5105
723,380,5.8170,4.4336,10.2506,1.5100
726,1991,6.1335,1.8648,-4.2687,1.6516
727,4467,5.9788,-0.6666,-6.6454,1.5551
728,210,6.0452,-2.3768,-8.4220,1.6459
729,2112,6.4193,2.4019,-4.0174,1.5137
732,37,5.8826,7.9126,13.7952,1.5216
733,1212,5.9131,-2.3296,3.5835,1.5419
734,2704,5.8195,2.8547,8.6742,1.5228
735,4200,6.0779,-1.9385,-8.0164,1.4884
736,3717,5.9845,5.4462,11.4307,1.5307
738,161,5.8522,-0.5539,5.2983,1.5647
739,3783,5.9605,7.7749,13.7354,1.4214
741,1792,5.9289,3.6939,-2.2349,1.5832
742,254,6.0789,7.1780,13.2569,1.5855
745,412,5.9018,10.2436,4.3418,1.5597
747,2904,6.2878,4.8555,11.1433,1.5794
750,2982,5.9259,7.2714,1.3455,1.4843
753,2210,5.9982,7.5667,1.5685,1.5944
754,4340,5.9540,4.3550,10.3089,1.5534
757,3780,5.9133,3.8218,9.7351,1.4353
761,1146,5.8833,10.2008,4.3175,1.5437
771,4421,6.0182,2.7585,-3.2598,1.5648
772,2358,5.9121,2.8202,8.7323,1.5149
776,2679,5.9535,2.4188,8.3723,1.5684
782,163,6.0200,-0.8841,5.1359,1.5607
784,3036,5.8438,3.9466,-1.8971,1.4765
785,1995,5.8687,4.2591,-1.6096,1.5600
800,2752,6.0135,-0.3346,-6.3481,1.5575
821,96,5.5254,3.9851,9.5104,1.5074
823,3850,5.5504,3.9677,9.5180,1.5879
824,4313,5.3648,1.2945,6.6593,1.4640
825,4606,5.5807,2.0741,-3.5066,1.5507
826,3212,5.4565,1.5443,-3.9121,1.4883
827,1854,5.4933,-1.9777,-7.4710,1.5343
828,1846,5.7877,4.0098,-1.7779,1.5161
829,4053,5.6600,3.3160,-2.3440,1.4668
830,3855,5.5485,0.5428,-5.0057,1.5095
831,4000,5.7965,-0.0097,5.7868,1.4614
832,4186,5.3676,8.2854,13.6530,1.4449
833,2537,5.2475,3.7766,9.0240,1.4701
835,231,5.4742,4.4243,-1.0498,1.4892
836,1668,5.2304,7.2030,1.9727,1.5647
837,1728,5.5827,7.3578,1.7751,1.5108
838,613,5.2561,3.7917,9.0478,1.4457
839,3034,5.2709,5.1026,10.3735,1.4939
840,4175,5.5520,6.7895,12.3415,1.5295
843,2581,5.2536,1.8115,-3.4421,1.5734
844,2671,5.4342,1.7453,-3.6889,1.4869
845,1022,5.2569,5.6021,10.8590,1.4616
847,1955,5.3354,2.8545,8.1900,1.5398
848,4035,5.5170,-1.9140,-7.4310,1.4690
849,3552,5.6534,3.2759,8.9293,1.4495
850,3937,5.3290,1.1167,6.4457,1.4574
851,4076,5.5080,-0.0656,5.4424,1.4512
853,25,5.4878,7.6346,13.1224,1.5141
854,3546,5.3457,8.1730,2.8273,1.5096
855,2284,5.6177,7.9203,2.3026,1.4766
857,2418,5.3391,5.5939,10.9331,1.5313
859,3944,5.8576,0.3807,6.2383,1.4596
860,40,5.8200,10.4251,4.6050,1.5494
861,2789,5.3594,5.1036,10.4631,1.5384
862,2591,5.5332,1.2717,-4.2616,1.4646
863,3849,5.3412,3.2343,8.5755,1.4442
865,2221,6.0418,-0.5203,5.5215,1.5000
866,2152,5.2838,2.0773,-3.2064,1.5658
867,4243,5.5869,0.1146,5.7015,1.4681
872,4283,5.4468,3.5151,8.9619,1.4661
873,2161,5.4958,3.1698,8.6656,1.4497
874,4605,5.3400,3.4429,-1.8971,1.5033
879,1586,5.4187,-0.3818,5.0370,1.5392
880,1945,5.4772,-0.7767,4.7005,1.4821
883,2527,5.2421,0.7493,5.9915,1.4990
885,3774,5.3687,-1.8134,3.5553,1.4672
886,3647,5.6214,5.8915,11.5129,1.5061
887,4260,5.4635,-0.8583,4.6052,1.4697
888,1295,5.3694,6.5882,11.9576,1.4453
889,3103,5.2320,6.3952,1.1631,1.4846
890,4159,5.4545,2.8394,8.2939,1.5250
897,1938,5.2928,5.0161,10.3090,1.4385
900,3530,5.7297,0.8904,6.6201,1.4387
901,2524,5.2433,0.6381,-4.6052,1.5251
902,3710,5.2664,1.6544,-3.6119,1.5247
904,3973,5.2980,-3.5758,-8.8738,1.5612
907,886,5.4096,5.1870,10.5967,1.5520
910,4369,5.2425,2.1414,-3.1011,1.5017
914,3259,5.4168,8.3986,13.8154,1.5301
918,2830,5.3794,5.8722,11.2516,1.4209
921,3264,5.3075,-0.7966,4.5109,1.5465
923,4548,5.5136,2.8060,-2.7077,1.4501
924,1627,5.2436,5.0981,10.3417,1.4376
929,4608,5.4003,1.9899,7.3902,1.4524
934,4378,5.3011,2.1034,7.4045,1.4824
944,1103,5.2853,6.2276,11.5129,1.5057
946,3545,5.3713,3.8391,9.2103,1.4606
948,1802,5.2375,2.5031,7.7406,1.5057
950,4005,5.2415,4.0907,9.3322,1.4675
955,529,5.2735,-1.3614,3.9121,1.5044
968,1936,5.2750,3.7526,9.0276,1.4707
975,3947,5.6553,1.5376,7.1929,1.4538
976,3784,5.3981,5.5060,10.9041,1.4376
977,1999,5.3778,5.2189,10.5967,1.5807
980,4206,5.3527,-3.2608,2.0919,1.4527
988,3897,5.2448,3.3396,8.5844,1.4365
991,1045,5.2399,8.1010,2.8611,1.4844
999,4459,5.2391,-4.1810,1.0581,1.4244
1001,4212,5.3940,2.9487,8.3427,1.4598
1002,4120,5.2617,3.4757,8.7374,1.4826
1007,77,5.4678,3.3858,8.8536,1.4056
1008,3767,5.3206,5.6281,0.3075,1.4189
1029,3239,4.7136,3.8351,8.5487,1.4100
1030,2654,4.8713,7.0468,11.9182,1.4759
1031,2963,4.9145,7.4357,12.3502,1.4227
1032,629,5.1454,1.7624,6.9078,1.4045
1033,1785,4.8594,8.3498,3.4904,1.4890
1034,3148,4.9276,4.9277,0.0001,1.4252
1035,330,5.0195,8.3180,13.3375,1.4336
1036,4516,4.7303,2.8660,-1.8643,1.4628
1037,3786,5.1106,4.9121,-0.1984,1.4238
1038,648,5.1415,9.7466,4.6052,1.4510
1039,4041,4.8986,3.3040,-1.5945,1.4580
1040,402,4.8978,4.1906,-0.7073,1.4933
1041,3145,5.1382,5.4383,0.3001,1.4164
1042,1515,4.7138,6.5384,1.8245,1.4577
1044,3524,4.9530,-0.7608,-5.7138,1.4106
1046,3564,4.9114,3.2507,-1.6607,1.4471
1047,2804,4.8270,-0.0820,-4.9090,1.4015
1048,2487,4.7876,4.4228,9.2104,1.5099
1049,2569,5.1006,7.2978,2.1972,1.4756
1051,2821,4.8796,3.1133,7.9929,1.4933
1052,275,4.8562,3.3043,8.1605,1.4041
1053,1607,4.7602,8.1137,12.8739,1.4657
1055,4139,4.7419,3.1252,7.8671,1.4478
1056,4441,4.8332,3.2960,-1.5372,1.4574
1058,3995,4.7553,1.7781,6.5334,1.4123
1059,3004,5.1146,3.4608,8.5755,1.4158
1060,3276,5.0046,5.3044,10.3089,1.4120
1061,2062,4.7657,5.6658,0.9002,1.3918
1062,3163,4.9551,-0.7587,-5.7138,1.4203
1063,1941,5.0231,3.8519,-1.1712,1.3826
1064,1880,4.7457,4.7457,0.0000,1.4252
1065,3854,5.0663,4.8619,9.9282,1.3985
1070,1199,4.9707,-0.8723,-5.8430,1.4914
1074,3809,4.9846,-0.6848,-5.6694,1.4607
1077,3640,4.8803,3.0663,-1.8140,1.3639
1078,439,4.7659,6.0538,10.8197,1.4325
1079,2529,4.9035,1.5793,-3.3242,1.5106
1080,1342,4.7487,5.3779,10.1266,1.4929
1084,3794,4.7911,0.5072,5.2983,1.3996
1085,3789,4.8013,2.6300,7.4312,1.3940
1087,2223,4.9103,7.5192,12.4295,1.3932
1088,1828,4.7927,6.1330,10.9257,1.4767
1091,1630,4.8502,-1.1821,-6.0323,1.4008
1093,1418,4.7822,4.1134,8.8956,1.4317
1099,2725,4.9323,3.4571,8.3894,1.4657
1101,977,4.8027,5.1008,9.9035,1.3461
1103,4520,4.7790,-0.6682,4.1109,1.4029
1107,143,4.7596,7.5928,2.8332,1.5204
1111,2073,4.7225,6.5278,11.2503,1.5278
1112,73,4.7934,4.3648,9.1582,1.3744
1114,3625,4.7467,0.8835,-3.8632,1.4204
1121,2332,4.7548,-0.3865,-5.1413,1.4738
1126,4555,4.7968,-5.0738,-0.2771,1.3899
1127,4553,4.8597,3.7510,-1.1087,1.3846
1129,321,4.7161,3.9461,8.6622,1.3563
1130,4008,4.8375,0.4609,5.2983,1.3931
1132,1862,4.7461,1.9132,6.6593,1.4524
1137,3777,4.8750,3.1512,8.0262,1.3774
1140,92,4.7646,1.7238,-3.0407,1.3882
1142,3542,4.7098,-2.5045,-7.2143,1.3905
1144,4569,4.7832,0.2274,5.0106,1.4583
1146,3816,4.8349,2.2839,-2.5511,1.3361
1153,4039,4.7221,7.7666,3.0445,1.3691
1158,3920,4.7122,7.8445,12.5567,1.4485
1174,4261,4.8560,-2.4980,-7.3540,1.3821
1175,2267,4.7215,3.8349,8.5564,1.4051
1177,3873,4.8867,-0.6348,-5.5215,1.3990
1180,4050,5.7953,-1.0829,-6.8782,1.4099
1184,2404,4.7563,0.8190,-3.9373,1.4032
1185,3519,5.4672,1.0275,-4.4397,1.4193
1186,995,4.9517,3.2173,8.1691,1.3628
1187,2676,4.7878,5.1156,9.9034,1.3633
1206,228,4.7888,3.4000,8.1888,1.4110
1209,4514,4.7864,5.2502,0.4637,1.4293
1212,4164,4.9494,-3.6191,-8.5685,1.4197
1233,2892,4.4669,0.1241,-4.3428,1.3721
1234,2750,4.5229,5.3805,9.9034,1.3728
1235,2884,4.5733,6.1208,1.5476,1.3808
1236,4495,4.4535,2.9568,7.4104,1.3532
1237,1264,4.2532,3.8177,8.0709,1.3597
1238,4242,4.5596,3.3151,7.8747,1.4360
1239,2873,4.5033,0.0025,-4.5008,1.3872
1240,583,4.3396,7.8664,12.2061,1.3765
1241,1797,4.4101,6.9402,11.3504,1.3656
1242,2191,4.7295,3.5892,8.3187,1.4000
1243,4598,4.4294,8.1274,12.5567,1.3502
1244,91,4.4118,3.2844,7.6963,1.4240
1245,2596,4.4657,3.2028,7.6686,1.3997
1246,2557,4.3284,2.3333,-1.9951,1.3547
1247,4545,4.3010,1.9832,6.2841,1.3660
1248,2094,4.5240,1.9149,-2.6091,1.3899
1249,4006,4.4024,1.2674,5.6699,1.3658
1250,3005,4.3801,7.6438,12.0239,1.3873
1251,1145,4.3291,4.4287,8.7578,1.3887
1252,2682,4.8435,2.3178,-2.5257,1.4073
1254,1765,4.4174,2.0422,-2.3752,1.3657
1256,1647,4.3098,4.3098,-0.0000,1.3655
1257,184,4.4676,-2.5655,1.9021,1.4272
1258,816,4.2423,-1.6775,2.5648,1.4740
1259,3230,4.4450,4.8241,9.2691,1.4074
1260,3059,4.3545,0.5866,-3.7679,1.4016
1261,4501,4.5629,3.0933,-1.4697,1.4675
1262,1613,4.3466,7.5452,3.1987,1.3734
1263,3892,4.5671,-0.8787,-5.4459,1.3754
1264,315,4.5064,3.6541,8.1605,1.4414
1265,2252,4.3681,0.7071,5.0752,1.4220
1267,3013,4.4238,2.0159,-2.4080,1.3697
1268,1778,4.5334,7.0748,11.6082,1.4172
1269,4587,4.5327,1.2332,-3.2995,1.4072
1270,2735,4.4754,2.5093,-1.9661,1.3853
1273,162,4.2768,0.5107,4.7875,1.3318
1274,850,4.3624,1.0922,-3.2702,1.4077
1275,4028,6.1637,-0.2741,-6.4378,1.3687
1276,4465,4.5144,3.9055,-0.6088,1.3636
1277,615,4.4382,8.8467,13.2849,1.3754
1279,2919,4.2644,7.4797,11.7440,1.3319
1280,4092,4.2422,4.6609,0.4187,1.3435
1281,4119,4.7537,-1.2409,-5.9946,1.3841
1282,2397,4.3195,5.9290,1.6094,1.4414
1283,4104,4.7669,-2.1410,-6.9079,1.4157
1284,1669,4.4104,1.7794,-2.6311,1.3324
1285,1887,4.3070,1.6759,-2.6311,1.3491
1286,3001,4.2500,8.3443,4.0943,1.3854
1288,4281,4.3226,1.5434,5.8660,1.3309
1289,1691,4.5326,5.8727,10.4053,1.4249
1291,236,4.3903,-0.5715,-4.9619,1.3643
1292,160,4.3190,0.9281,5.2471,1.3625
1293,3669,4.3801,3.5820,7.9621,1.4470
1295,1827,4.3849,3.4686,-0.9163,1.3857
1296,3105,4.4625,-0.8977,-5.3602,1.3867
1297,3014,4.2455,6.2176,10.4631,1.3616
1299,2472,4.4100,1.6012,6.0113,1.3657
1300,2465,4.2770,9.5384,13.8154,1.3559
1301,3570,4.5450,4.5350,-0.0100,1.3476
1303,2790,4.4152,0.0724,-4.3428,1.3942
1306,3967,4.2606,-3.0789,1.1817,1.3718
1307,1915,4.3642,-0.5286,-4.8929,1.3832
1308,3098,4.4784,3.9334,8.4118,1.3177
1309,2528,4.3078,1.8068,-2.5010,1.3547
1310,1288,4.2628,7.9433,12.2061,1.4007
1311,2235,4.2585,0.7188,4.9773,1.3482
1312,4582,4.6603,3.9208,8.5811,1.4236
1315,111,4.2967,2.1864,6.4831,1.3987
1318,2579,4.2915,1.2918,-2.9997,1.3685
1319,1523,4.3810,5.7848,10.1659,1.2872
1321,3782,4.2415,1.1965,5.4381,1.4035
1322,2539,4.2372,1.3185,-2.9187,1.3830
1323,3642,4.3035,4.6471,0.3436,1.3581
1326,3876,4.2421,-1.9725,-6.2146,1.3230
1331,3508,4.3691,3.8973,-0.4718,1.3536
1332,1646,4.3263,4.8841,9.2103,1.3611
1337,406,4.2426,4.0515,8.2941,1.3288
1339,1789,4.5803,4.5226,-0.0576,1.3852
1341,1470,4.2576,4.3860,8.6436,1.3238
1342,680,4.2448,6.9787,11.2236,1.3649
1343,4475,4.3721,0.7857,-3.5863,1.4029
1345,404,4.3716,4.5708,8.9425,1.3724
1348,2308,4.3164,0.5512,4.8675,1.3829
1351,501,4.4277,4.2768,-0.1508,1.2933
1352,80,4.3603,8.4832,12.8435,1.3742
1357,587,4.2674,3.8483,8.1157,1.3681
1359,4382,4.4043,0.7924,-3.6119,1.3666
1362,1799,4.5101,1.5143,-2.9958,1.3454
1365,3673,4.2987,4.7289,9.0276,1.3388
1366,4042,4.2407,6.5433,2.3026,1.3564
1373,2009,4.4839,0.2503,-4.2336,1.3611
1374,2373,4.8002,-10.4893,-15.2895,1.2910
1377,4151,4.2614,3.3455,7.6069,1.4478
1382,3060,4.2658,0.4347,4.7005,1.3705
1392,4106,4.2873,-1.9848,2.3026,1.4018
1393,3507,4.3879,3.1839,-1.2040,1.3095
1400,2547,4.3157,8.6495,12.9652,1.3911
1402,2169,4.3307,0.8793,-3.4514,1.3097
1404,2930,4.3731,-0.5889,3.7842,1.3288
1408,4325,4.2381,-4.0156,-8.2538,1.2954
1413,2051,4.2761,0.8466,-3.4295,1.4289
1417,4482,4.2657,1.7258,5.9915,1.3264
1425,1737,4.2730,5.6296,9.9026,1.3705
1440,2849,4.4720,-7.9572,-12.4292,1.3984
1444,1659,4.6318,1.0198,-3.6120,1.3833
1446,1858,4.2697,5.6560,1.3863,1.3683
1447,3714,4.3158,3.9606,8.2764,1.3414
1449,1437,4.2748,6.0408,10.3156,1.3345
1451,317,4.2844,-1.0159,-5.3003,1.3416
1455,4204,4.2703,1.3598,-2.9105,1.4072
1474,1638,4.3595,1.2012,5.5607,1.2924
1475,2556,4.5096,-1.7050,-6.2146,1.3189
1476,2564,4.3021,-1.9126,-6.2146,1.3748
1478,1873,4.5618,2.1539,-2.4079,1.3807
1481,3296,4.2779,1.6186,-2.6593,1.3037
1482,3567,4.3390,0.5955,4.9345,1.3399
1483,2636,4.5388,-0.9827,-5.5215,1.2989
1492,4007,4.3016,3.9578,8.2595,1.3256
1493,3683,4.3497,5.6307,1.2809,1.3854
1494,1685,4.3199,6.6620,10.9820,1.3419
1496,2762,4.3040,1.3475,-2.9565,1.3439
1503,4068,4.3047,1.7614,6.0661,1.3671
1505,3083,4.3305,4.8996,9.2301,1.3665
1511,4412,4.3349,-0.2407,-4.5756,1.3625
1516,3645,4.2466,1.8955,6.1420,1.3560
1518,3884,4.2453,-1.3407,-5.5860,1.3405
1523,4058,4.3385,6.6018,10.9402,1.3092
1530,3991,4.2545,5.3859,1.1314,1.3184
1535,4483,4.5905,-4.2541,0.3365,1.4052
1537,3796,4.4291,-0.6914,3.7377,1.4156
1540,3079,4.2387,0.7321,-3.5066,1.3566
1543,1879,4.4502,4.0316,8.4817,1.3592
1545,83,4.3346,0.5330,4.8676,1.3409
1549,27,4.2756,6.4992,2.2235,1.3993
1550,2688,4.5125,-0.7858,-5.2983,1.4012
1557,2738,4.4391,-0.1661,-4.6052,1.3731
1560,3781,4.2557,3.1221,7.3778,1.3274
1567,3974,4.2705,0.0611,4.3316,1.3573
1570,1414,4.6836,2.9661,7.6497,1.3446
1574,3667,4.4477,4.4201,8.8678,1.3913
1575,2251,4.3796,1.9695,6.3491,1.3302
1578,207,4.3032,3.4111,7.7142,1.3568
1579,4284,4.4722,-4.1357,0.3365,1.3531
1593,2293,4.2556,7.2513,2.9957,1.3544
1603,2156,4.2950,6.7071,11.0021,1.3433
1605,3596,4.2542,3.0503,-1.2040,1.3318
1611,1468,4.2696,2.9958,7.2654,1.3547
1622,524,4.4331,3.7072,8.1403,1.3202
1627,3202,4.3123,3.8280,8.1403,1.3215
1629,192,4.3993,5.1475,9.5468,1.3432
1644,2155,4.3294,1.0177,5.3471,1.3738
1647,1117,4.4497,5.4337,9.8834,1.3380
1648,1537,4.3116,0.4246,4.7362,1.3536
1650,2129,4.3702,4.8501,9.2203,1.3099
1654,3532,4.3563,3.4400,-0.9163,1.3282
1663,1831,4.2830,3.1923,-1.0906,1.4143
1672,1556,4.2392,1.8315,6.0707,1.3718
1679,3602,4.2411,2.6666,6.9078,1.3653
1694,4060,4.4339,-1.5184,-5.9522,1.2782
1712,940,4.4155,3.3552,7.7707,1.3407
1719,3207,4.3047,1.6868,5.9915,1.3527
1730,322,4.3701,3.4776,7.8478,1.3455
1735,980,4.4134,-0.3880,4.0254,1.2994
1743,3076,4.2604,5.1731,9.4335,1.2989
1763,351,4.2522,4.1188,8.3710,1.3013
1766,68,4.3456,9.4291,13.7747,1.2903
1787,3955,4.1293,7.7724,3.6431,1.3800
1788,1456,3.9856,6.6110,10.5966,1.3294
1789,1509,3.9636,4.0589,0.0953,1.3068
1790,3609,4.0086,3.5923,7.6009,1.2986
1791,4286,3.9094,8.2951,4.3858,1.2924
1792,1957,3.9903,1.4437,5.4340,1.3139
1793,3244,3.8943,8.4384,12.3327,1.2192
1794,4417,4.3541,0.7662,5.1203,1.2963
1795,2831,3.9023,2.0891,5.9915,1.3119
1796,2580,4.0089,5.8007,1.7918,1.3380
1797,1909,4.0216,0.1096,-3.9120,1.3169
1798,1707,3.9673,3.6337,7.6010,1.3832
1799,3267,4.1262,5.2665,9.3927,1.2850
