step,molindx,prediction_error,predicted_value,true_value,mae
243,2161,8.9421,-0.2765,8.6656,1.7112
247,2372,8.9838,6.0651,-2.9188,1.6042
265,4174,8.8890,4.5583,13.4473,1.6751
286,3049,8.1166,6.9772,-1.1394,1.6705
287,4434,8.4145,4.7079,13.1224,1.7629
288,3805,8.6710,4.0659,-4.6052,1.7262
289,3207,8.0707,-2.0792,5.9915,1.6490
291,1909,8.9437,5.0317,-3.9120,1.6749
292,1586,8.1656,-3.1286,5.0370,1.6498
293,2772,9.6056,1.9074,11.5129,1.6511
295,2157,8.4650,0.7453,9.2103,1.6510
296,4606,8.2369,4.7304,-3.5066,1.6076
297,3159,8.1224,1.6333,-6.4891,1.6231
298,3079,8.6408,5.1342,-3.5066,1.7210
299,3648,8.4348,0.4188,8.8537,1.5883
300,1797,8.1567,3.1937,11.3504,1.5900
302,2512,8.3719,5.4363,-2.9356,1.6662
303,4276,8.3876,1.8630,10.2506,1.6454
304,2899,8.1120,1.8461,-6.2659,1.6306
306,2221,8.1472,-2.6257,5.5215,1.6421
310,4068,8.0475,-1.9814,6.0661,1.6276
313,4261,8.0124,0.6584,-7.3540,1.6744
317,2616,8.1908,3.8480,-4.3428,1.6762
322,2049,8.0379,1.6201,9.6580,1.6561
325,1039,8.4253,4.0039,12.4292,1.6180
332,3502,8.0377,1.1299,-6.9078,1.6828
335,3524,8.3753,2.6615,-5.7138,1.6611
342,4574,8.2483,2.8581,11.1065,1.7124
348,1199,8.0146,2.1716,-5.8430,1.6533
366,3635,8.0150,3.2138,-4.8012,1.6027
382,178,8.1503,0.3263,-7.8240,1.6621
383,4005,8.0907,1.2415,9.3322,1.6051
387,2809,8.0412,-2.4999,5.5413,1.6073
408,2199,7.7028,5.8057,-1.8971,1.6988
409,4604,7.3815,0.7999,8.1814,1.5801
410,2819,7.4809,2.6526,-4.8283,1.6436
411,1230,7.2189,-0.1289,7.0900,1.5979
412,2308,7.3017,-2.4342,4.8675,1.5651
413,4340,7.4399,2.8690,10.3089,1.6993
414,884,7.4434,5.4558,12.8992,1.6694
416,4398,7.6541,5.8440,13.4981,1.6885
417,4088,7.4161,2.8109,-4.6052,1.5682
418,3884,7.4107,1.8247,-5.5860,1.6101
422,4025,7.5233,2.2803,9.8037,1.6463
423,3947,7.1754,0.0176,7.1929,1.6225
424,1751,7.7558,-0.9535,6.8023,1.6299
427,3163,7.6052,1.8914,-5.7138,1.6996
428,2223,7.3951,5.0344,12.4295,1.6158
429,3054,7.3931,4.3355,-3.0576,1.5990
430,3798,7.9125,2.2576,-5.6550,1.6333
431,3259,7.8382,5.9772,13.8154,1.5699
436,2671,7.2883,3.5994,-3.6889,1.6138
439,3729,7.7280,0.8845,8.6125,1.5878
440,3254,7.4525,1.9310,-5.5215,1.5863
441,2957,7.2407,6.5747,13.8155,1.4452
443,4360,7.4247,-0.5330,6.8916,1.5213
445,2926,7.7430,5.8982,13.6412,1.7073
447,4035,7.6234,0.1924,-7.4310,1.6102
448,2526,7.6318,4.0852,-3.5467,1.6856
454,3564,7.2098,5.5491,-1.6607,1.5892
460,2927,7.9250,5.3628,13.2879,1.6910
463,3594,7.3606,2.5448,-4.8159,1.5057
476,1316,7.2176,4.0585,11.2760,1.5705
484,4100,7.3577,-2.9952,-10.3529,1.6137
487,1406,7.2145,5.4425,-1.7720,1.6541
489,2267,7.2370,1.3194,8.5564,1.6093
491,1215,7.8159,4.3094,-3.5066,1.6001
493,1247,7.4139,-2.8087,4.6052,1.5947
500,1659,7.6483,4.0364,-3.6120,1.5819
501,2632,7.3848,-0.7384,6.6464,1.5781
522,234,7.6212,-1.3267,-8.9480,1.6697
523,2059,7.0510,3.2810,10.3320,1.6360
524,898,7.0891,2.9097,9.9988,1.5982
525,189,8.1331,-0.5466,-8.6797,1.6746
526,3038,6.6619,-0.6705,5.9915,1.6089
527,4634,6.5743,2.3198,-4.2545,1.5716
528,2610,6.8958,4.9023,11.7981,1.5800
529,210,8.2824,-0.1396,-8.4220,1.5187
530,3710,7.2274,3.6155,-3.6119,1.5770
531,2682,6.8583,4.3325,-2.5257,1.5823
532,1929,7.1791,-1.8743,-9.0534,1.5693
533,4575,6.6712,1.1744,-5.4968,1.5007
534,3692,7.4454,-0.1555,-7.6009,1.5963
535,1523,6.8461,3.3197,10.1659,1.6220
536,4456,6.6252,1.5092,-5.1160,1.5257
537,489,6.9268,2.7904,9.7172,1.6033
538,3903,6.9829,2.7765,-4.2064,1.6051
539,3045,6.4686,7.2191,13.6877,1.6240
541,3375,6.8322,1.6850,8.5172,1.5816
542,3121,7.1428,3.1255,-4.0174,1.6437
543,2172,6.6978,-0.3177,6.3802,1.6243
544,3851,6.8983,3.9215,10.8198,1.5660
546,3714,6.4960,1.7804,8.2764,1.5238
548,3781,6.5024,0.8754,7.3778,1.5614
551,2760,7.0010,0.0932,-6.9078,1.5624
552,3725,6.5623,5.1658,11.7280,1.6183
554,3782,6.9341,-1.4960,5.4381,1.5527
555,2977,7.4311,0.5234,-6.9078,1.5738
556,2940,6.7109,4.3685,-2.3424,1.5554
558,2133,6.5786,3.5828,-2.9957,1.6706
559,1468,6.8066,0.4588,7.2654,1.5421
560,4555,6.6719,-6.9489,-0.2771,1.6508
561,92,6.6786,3.6379,-3.0407,1.5612
566,4194,6.8118,-0.5389,6.2729,1.5576
567,4053,6.4937,4.1497,-2.3440,1.5476
574,3249,6.5583,0.3437,-6.2146,1.5597
575,3900,6.4629,2.3704,-4.0925,1.5713
576,3682,6.4744,-1.0207,5.4537,1.5631
577,3897,6.5497,2.0347,8.5844,1.6765
578,540,6.8517,-0.9409,5.9108,1.5385
581,2659,6.9316,-3.0196,3.9120,1.6435
586,2581,6.5431,3.1010,-3.4421,1.5042
588,3132,6.6557,2.6129,9.2686,1.5214
589,1000,6.8527,7.7894,0.9367,1.5899
592,327,6.5098,7.1085,13.6183,1.5909
594,3978,6.5236,-2.6117,3.9120,1.5308
610,3787,6.5998,6.3767,-0.2231,1.5380
614,2064,6.5617,-1.4437,5.1180,1.5090
615,513,6.4592,3.3127,-3.1466,1.4598
636,2438,6.2601,7.1764,0.9163,1.4915
637,3954,6.2123,2.0817,8.2941,1.5089
638,3854,6.5764,3.3518,9.9282,1.5230
639,2418,6.0928,4.8403,10.9331,1.5381
640,1103,6.4450,5.0679,11.5129,1.4922
641,1792,6.4480,4.2131,-2.2349,1.5398
642,1844,6.2726,7.4563,13.7289,1.5738
643,3017,6.0979,4.0287,10.1266,1.4704
644,3127,5.8656,0.7984,-5.0672,1.5414
645,2752,5.9114,-0.4367,-6.3481,1.5213
646,1411,6.1557,5.1783,-0.9774,1.4884
647,1802,5.9503,1.7903,7.7406,1.5260
649,1685,6.0856,4.8964,10.9820,1.5438
650,3661,5.8323,5.0144,10.8468,1.4848
651,4327,6.1905,-0.5331,-6.7236,1.5301
652,3780,5.8168,3.9183,9.7351,1.4406
653,3667,6.1829,2.6849,8.8678,1.5087
654,4027,6.2136,6.8815,0.6678,1.4723
656,1160,6.0183,-6.3750,-0.3567,1.5441
657,4105,6.2523,-0.5479,5.7044,1.5308
658,864,6.1038,7.6986,13.8024,1.4956
659,4139,6.0030,1.8641,7.8671,1.5197
660,2621,5.9190,2.1827,8.1017,1.4591
662,2389,5.8256,3.8795,9.7050,1.5770
663,3665,6.1242,1.2446,-4.8796,1.4963
664,680,6.0929,5.1307,11.2236,1.5176
665,2542,5.9689,5.5136,11.4825,1.5715
666,1644,6.2221,5.0295,11.2516,1.5125
668,2271,6.2268,5.8958,12.1227,1.5278
670,4142,5.8312,0.9263,-4.9049,1.5086
674,3645,6.1754,-0.0333,6.1420,1.5311
675,346,6.2319,7.5002,13.7321,1.4694
676,2968,5.9298,4.7260,-1.2038,1.5507
678,2522,5.9017,-0.6035,5.2982,1.4972
680,1915,6.1542,1.2613,-4.8929,1.5539
682,4185,6.6907,1.9347,-4.7560,1.5420
683,3435,5.9930,1.2147,-4.7783,1.5360
684,2358,5.9847,2.7476,8.7323,1.4687
686,3804,6.3734,1.8992,-4.4741,1.4618
687,1378,5.9652,7.5218,13.4870,1.5829
688,1707,5.9879,1.6131,7.6010,1.3629
690,1295,5.8343,6.1234,11.9576,1.4403
696,4249,6.3383,2.0696,-4.2687,1.5292
697,1627,6.2705,4.0712,10.3417,1.4707
701,3784,5.9726,4.9315,10.9041,1.4936
703,3311,5.8865,1.6460,-4.2405,1.4503
711,4280,5.8780,0.2786,-5.5994,1.5620
712,2360,5.8887,-0.1241,5.7646,1.4789
719,4161,6.4099,2.3813,-4.0286,1.4629
720,4322,6.1502,2.1329,-4.0174,1.4382
722,2579,5.8859,2.8862,-2.9997,1.5648
723,2007,5.9981,-2.0861,3.9120,1.5077
734,3777,5.9246,2.1016,8.0262,1.4564
735,3980,6.3125,2.3198,-3.9927,1.4966
737,3625,5.9575,2.0943,-3.8632,1.4818
742,4608,5.9503,1.4398,7.3902,1.5132
750,1873,5.8241,3.4162,-2.4079,1.5198
753,3739,6.4204,5.9211,12.3415,1.4560
755,1647,5.8180,5.8180,-0.0000,1.4345
775,1392,6.7739,6.6500,13.4240,1.5293
779,3197,6.0210,0.8868,6.9078,1.4845
789,2569,5.9027,8.0999,2.1972,1.4506
807,1866,6.7167,6.7563,13.4730,1.4927
810,1383,6.3141,6.6001,12.9142,1.4605
815,3932,5.9157,3.7871,-2.1286,1.4986
817,2904,5.8771,5.2662,11.1433,1.4624
818,2725,5.8236,2.5657,8.3894,1.4773
820,3468,5.8725,2.1428,-3.7297,1.4605
830,4585,5.8809,2.2328,8.1137,1.4203
831,3826,5.8147,7.6230,1.8083,1.4452
832,2289,5.8921,-0.6943,-6.5864,1.5695
833,4129,6.1295,0.9606,7.0901,1.4700
838,4186,5.8249,7.8281,13.6530,1.5237
839,4467,5.8921,-0.7533,-6.6454,1.4949
850,3542,6.1936,-1.0207,-7.2143,1.4889
871,4428,5.4183,1.3842,6.8025,1.4681
872,4242,5.4788,2.3959,7.8747,1.4957
873,2276,5.7384,0.5382,6.2766,1.4221
874,2465,5.4522,8.3632,13.8154,1.4731
875,339,5.6421,7.7334,13.3755,1.4440
876,4212,5.4728,2.8699,8.3427,1.4093
877,3055,5.4444,6.9014,12.3458,1.3986
878,3223,5.6127,6.3059,0.6932,1.4476
879,4204,5.4245,2.5140,-2.9105,1.5226
880,1630,5.4491,-0.5832,-6.0323,1.4361
881,1379,5.3377,3.7673,9.1050,1.4496
882,2845,5.2648,8.1552,2.8904,1.4905
885,37,5.4748,8.3204,13.7952,1.5157
886,4587,5.2554,1.9558,-3.2995,1.4618
887,995,5.3844,2.7846,8.1691,1.4528
889,330,5.3522,7.9853,13.3375,1.4636
891,2873,5.5824,1.0816,-4.5008,1.4131
892,237,5.4037,2.8780,-2.5257,1.4587
893,4297,5.2916,3.7775,-1.5141,1.4659
894,3728,5.2361,4.1334,-1.1027,1.4398
895,3717,5.4011,6.0295,11.4307,1.4528
897,1470,5.3750,3.2686,8.6436,1.4529
898,4217,5.3406,3.0487,8.3893,1.5099
899,544,5.3571,6.8611,1.5041,1.4929
901,3914,6.2737,0.4645,-5.8091,1.5112
902,4178,5.3646,5.2593,-0.1053,1.4256
904,2169,5.4820,2.0306,-3.4514,1.4499
906,4377,5.2756,0.6243,-4.6513,1.4450
907,4566,5.6019,4.8710,-0.7309,1.4409
909,3545,5.7814,3.4290,9.2103,1.4611
910,102,5.3885,7.3284,12.7169,1.4810
911,1607,5.2452,7.6287,12.8739,1.4346
913,998,5.2586,5.5611,10.8198,1.3691
915,2750,5.3987,4.5048,9.9034,1.4199
916,359,5.2664,4.1671,9.4335,1.4452
917,2478,5.6627,7.5032,1.8405,1.4449
918,19,5.3190,6.3122,0.9932,1.4782
919,2051,5.3843,1.9548,-3.4295,1.4373
920,3870,5.2824,4.9947,-0.2877,1.5258
922,45,5.3090,8.1016,13.4106,1.4190
923,2668,5.2582,4.0805,-1.1777,1.4469
924,963,5.4108,7.9892,13.4000,1.4422
931,3314,5.2494,5.0263,-0.2231,1.4791
932,2397,5.2568,6.8662,1.6094,1.4592
933,3101,5.2874,3.5330,-1.7545,1.4055
935,3944,5.2782,0.9602,6.2383,1.3808
938,4281,5.5704,0.2955,5.8660,1.4345
941,3036,5.2519,3.3548,-1.8971,1.4150
950,2131,5.2793,-0.1468,-5.4261,1.3840
952,1022,5.2729,5.5861,10.8590,1.4314
954,4378,5.3652,2.0393,7.4045,1.5369
955,4008,5.4427,-0.1444,5.2983,1.3961
956,2124,5.3521,-0.3217,5.0304,1.3953
957,3789,5.2657,2.1655,7.4312,1.4460
963,4569,5.4945,-0.4838,5.0106,1.3363
965,1066,5.5779,-8.0892,-13.6671,1.3205
969,1174,5.4674,2.6027,-2.8647,1.3633
975,3291,5.3414,1.3781,-3.9633,1.3572
977,1955,5.2500,2.9400,8.1900,1.4512
978,2892,5.3471,1.0043,-4.3428,1.3375
984,3507,5.2423,4.0384,-1.2040,1.3853
986,1728,5.3493,7.1243,1.7751,1.3827
987,2636,5.7068,0.1853,-5.5215,1.3665
989,1458,5.5456,3.3914,-2.1542,1.4426
991,2529,5.3187,1.9945,-3.3242,1.4461
1005,3596,5.5117,4.3077,-1.2040,1.4982
1012,4298,5.4201,7.4791,12.8992,1.4303
1014,2688,5.6259,0.3276,-5.2983,1.3969
1016,3640,5.5746,3.7606,-1.8140,1.4466
1021,3850,5.3929,4.1252,9.5180,1.3805
1026,1612,5.2417,3.2654,8.5070,1.4381
1030,1827,5.2417,4.3254,-0.9163,1.4172
1051,1668,5.2652,7.2379,1.9727,1.4613
1052,587,5.1817,2.9340,8.1157,1.4342
1053,2373,5.7761,-9.5135,-15.2895,1.4009
1054,2073,5.1862,6.0641,11.2503,1.3625
1055,3492,5.2562,2.9547,-2.3015,1.4213
1056,1515,4.9317,6.7562,1.8245,1.3435
1057,3774,5.2406,-1.6853,3.5553,1.4178
1058,4553,5.2367,4.1281,-1.1087,1.4265
1059,4039,4.9608,8.0053,3.0445,1.2879
1060,372,4.8253,3.9090,-0.9163,1.4401
1061,99,5.3207,4.6074,-0.7134,1.4247
1062,1259,5.1241,-0.1134,5.0106,1.4629
1063,368,4.8805,5.5736,0.6931,1.3732
1064,4081,5.1820,3.2897,8.4717,1.3581
1065,2654,4.7349,7.1832,11.9182,1.4516
1066,4149,5.0477,-0.9155,4.1322,1.3833
1067,2025,4.8900,3.6861,-1.2040,1.4478
1068,1139,4.8820,-1.1820,3.6999,1.4066
1069,3773,4.8123,2.9710,7.7832,1.4027
1071,3745,4.9646,0.1992,5.1638,1.3381
1072,2448,5.0586,5.0587,0.0001,1.4138
1073,4413,4.7832,2.9513,-1.8319,1.4582
1074,90,4.8243,8.5354,3.7111,1.3401
1075,2674,4.9405,6.0687,1.1282,1.4223
1076,2583,4.7557,0.7496,5.5053,1.3697
1077,4451,4.9246,4.2855,9.2102,1.3598
1078,3083,4.8824,4.3477,9.2301,1.3743
1079,2156,5.0364,5.9657,11.0021,1.3569
1080,3433,5.1803,1.2327,-3.9476,1.3959
1081,2014,4.7313,2.8696,7.6009,1.4315
1082,1332,4.8573,1.9199,-2.9374,1.3302
1084,4078,4.7493,6.1356,1.3863,1.3609
1086,1965,4.8085,8.3139,13.1224,1.3650
1087,3296,5.0446,2.3853,-2.6593,1.4142
1088,2414,5.0532,6.0951,1.0419,1.3373
1089,13,5.1673,4.9351,10.1023,1.4105
1090,1531,4.7883,4.3708,9.1591,1.4307
1091,1633,4.8864,8.1445,3.2581,1.3666
1093,2532,4.7977,6.1327,1.3350,1.3762
1095,629,4.9584,1.9493,6.9078,1.2930
1097,162,4.8128,-0.0253,4.7875,1.3745
1098,4496,5.5929,-0.4995,-6.0924,1.3908
1099,2647,4.8567,8.5701,3.7135,1.3534
1104,80,4.7672,8.0763,12.8435,1.4008
1105,778,4.8337,3.7311,-1.1026,1.3857
1106,2823,4.7643,3.3047,8.0690,1.3817
1107,1778,4.7926,6.8156,11.6082,1.3730
1109,1941,4.9822,3.8110,-1.1712,1.3723
1110,1019,4.9697,2.8948,7.8644,1.3545
1113,3991,4.7878,5.9192,1.1314,1.3919
1118,3148,4.8359,4.8360,0.0001,1.4070
1120,2706,4.8428,3.6388,-1.2040,1.2847
1122,3592,5.2575,3.0613,8.3187,1.4212
1124,2528,5.1945,2.6935,-2.5010,1.3463
1125,404,4.7396,4.2028,8.9425,1.3882
1128,4254,5.8184,-0.5588,-6.3771,1.3928
1132,1212,4.9163,-1.3327,3.5835,1.3890
1134,2332,5.2863,0.1449,-5.1413,1.3579
1140,1214,4.8509,-8.6645,-13.5154,1.3606
1143,1949,4.8496,2.1903,-2.6593,1.3768
1144,876,4.8912,1.3192,-3.5720,1.3568
1150,1878,4.8020,-2.4994,2.3026,1.3053
1156,153,4.7390,7.6835,2.9444,1.3593
1160,4405,4.8848,1.7970,-3.0879,1.3000
1163,4348,4.7308,1.8812,6.6120,1.2685
1164,4533,4.8979,1.3913,-3.5066,1.3698
1171,1164,4.8502,1.8544,-2.9957,1.3074
1172,25,4.7252,8.3972,13.1224,1.3064
1173,1775,4.7976,5.2365,0.4389,1.3154
1174,392,4.8782,5.8337,0.9555,1.3674
1178,3754,4.7498,7.8408,3.0910,1.3304
1181,4120,4.7406,3.9967,8.7374,1.3879
1182,1785,5.0520,8.5424,3.4904,1.3896
1186,3212,4.7173,0.8052,-3.9121,1.3273
1192,3224,4.7850,8.1143,12.8994,1.3566
1193,2058,4.9736,-1.7353,-6.7089,1.3176
1196,886,4.8770,5.7197,10.5967,1.3532
1202,2009,4.7176,0.4840,-4.2336,1.3669
1204,494,4.9002,3.1264,-1.7737,1.3448
1210,3034,5.1557,5.2177,10.3735,1.3752
1220,1973,4.7875,3.1099,7.8974,1.3217
1225,2729,4.7272,0.0066,-4.7206,1.3300
1226,4038,4.8290,3.6862,-1.1427,1.3607
1228,877,4.8196,5.7358,0.9163,1.3899
1230,1696,4.8308,0.1448,4.9756,1.3412
1231,2564,4.9590,-1.2556,-6.2146,1.3525
1235,2556,4.9067,-1.3079,-6.2146,1.3564
1236,3907,5.0911,4.3979,-0.6932,1.3937
1240,3783,4.8221,8.9133,13.7354,1.3044
1241,2738,5.3940,0.7888,-4.6052,1.2564
1243,1691,4.7887,5.6166,10.4053,1.3132
1249,605,4.7138,1.5008,6.2146,1.3272
1250,2524,4.9805,0.3754,-4.6052,1.3662
1251,3923,4.8221,3.9474,-0.8747,1.3223
1252,3446,4.7886,-0.8766,3.9120,1.3646
1257,1676,4.7634,4.0902,8.8537,1.3828
1258,236,4.7435,-0.2183,-4.9619,1.3510
1262,1427,4.7113,5.5583,10.2696,1.3063
1263,2633,4.9291,2.6275,-2.3016,1.3576
1266,2591,4.7788,0.5173,-4.2616,1.3250
1283,2611,4.8984,2.5952,-2.3033,1.3781
1289,613,4.9194,4.1283,9.0478,1.2913
1290,2067,6.9853,5.3753,-1.6100,1.3470
1291,2284,4.8265,7.1291,2.3026,1.2881
1293,2582,6.4233,4.7305,-1.6928,1.3724
1296,3963,4.7586,5.2286,0.4700,1.2959
1302,1418,4.7319,4.1637,8.8956,1.3281
1311,940,4.7924,2.9783,7.7707,1.2863
1316,2677,4.9532,7.2557,2.3026,1.3998
1317,3793,4.8238,5.1009,0.2771,1.3809
1338,4615,4.4821,9.4860,5.0039,1.3129
1339,2679,4.4863,3.8860,8.3723,1.3657
1340,4251,4.3290,5.0167,0.6876,1.3323
1341,3158,4.4906,6.3057,1.8151,1.2989
1342,3768,4.2647,7.9535,3.6889,1.3960
1343,2818,4.4186,0.7409,5.1595,1.3609
1344,1145,4.3142,4.4436,8.7578,1.3083
1345,68,4.3241,9.4505,13.7747,1.2500
1347,2912,4.8004,6.2017,11.0021,1.3391
1348,1482,4.6052,6.6386,2.0334,1.3371
1349,2196,4.3941,-0.0287,-4.4228,1.3700
1350,671,4.7970,3.8757,-0.9213,1.3128
1351,231,4.2909,3.2411,-1.0498,1.3775
1352,986,4.3134,3.0391,7.3524,1.3178
1353,4307,4.4992,4.6655,0.1663,1.3177
1354,4305,4.5039,1.7380,-2.7659,1.2947
1356,1430,4.3243,2.2549,6.5793,1.3304
1357,2623,4.6084,-4.1955,0.4129,1.2477
1358,4175,4.3318,8.0097,12.3415,1.4151
1359,254,4.2523,9.0046,13.2569,1.3281
1360,2715,4.5180,7.6090,3.0910,1.2852
1361,3885,4.4718,8.6645,13.1363,1.2919
1363,2891,4.3906,-4.1757,0.2149,1.3119
1364,3145,4.5484,4.8485,0.3001,1.4111
1365,1848,4.4772,2.5259,7.0031,1.2772
1366,439,4.2673,6.5524,10.8197,1.3111
1367,1366,4.2468,2.2444,-2.0025,1.2538
1368,3579,4.3313,-1.9334,2.3979,1.3154
1369,2804,4.3637,-0.5453,-4.9090,1.3527
1371,848,4.3392,3.9550,-0.3842,1.2760
1372,2023,4.3507,6.5984,10.9490,1.3579
1375,2580,4.4280,6.2198,1.7918,1.3487
1376,4477,4.3011,2.4423,6.7434,1.3366
1378,176,4.7953,7.2304,12.0258,1.2937
1379,406,4.2982,3.9959,8.2941,1.3502
1381,1812,4.3116,3.3174,-0.9942,1.3450
1382,785,4.2610,2.8553,-1.4057,1.2596
1385,3920,4.2854,8.2714,12.5567,1.2603
1387,1840,4.6294,6.1201,1.4907,1.3528
1388,1264,4.3390,3.7319,8.0709,1.2869
1390,1013,4.3817,5.6170,9.9987,1.3111
1391,1831,4.3049,3.2143,-1.0906,1.3135
1392,1052,4.3404,7.9049,12.2453,1.3336
1394,842,4.6154,0.5776,5.1929,1.3237
1395,3067,4.5856,2.0007,-2.5849,1.3159
1399,4435,4.3801,1.7203,6.1003,1.2986
1403,2978,4.3152,7.8908,12.2061,1.2537
1404,2,4.4818,5.4473,9.9290,1.2768
1406,3795,4.7447,4.1468,-0.5978,1.2761
1407,2741,4.3237,9.5495,5.2257,1.2570
1408,3662,4.3224,1.3191,5.6415,1.3577
1413,57,4.3062,4.6426,0.3365,1.3400
1414,4503,4.3609,5.4923,1.1314,1.3265
1415,3983,4.4616,5.4419,9.9035,1.2867
1418,3404,4.3768,1.3269,5.7038,1.2986
1419,2830,4.6849,6.5667,11.2516,1.2359
1420,2209,4.4306,3.6541,-0.7765,1.2845
1421,3958,4.2578,8.3521,4.0943,1.3000
1422,3984,4.2824,5.5268,9.8092,1.3115
1426,3059,4.3419,0.5739,-3.7679,1.3384
1427,1006,4.3028,-0.3023,-4.6052,1.2585
1428,111,4.3636,2.1195,6.4831,1.2426
1429,3509,4.2952,5.2362,0.9410,1.2714
1433,3686,4.3561,0.9423,5.2984,1.2880
1437,4190,4.4885,4.7047,0.2162,1.3116
1439,2789,4.7828,5.6802,10.4631,1.2807
1441,3786,4.5105,4.3121,-0.1984,1.2554
1442,3162,4.6315,5.5793,0.9478,1.2882
1443,4483,4.4901,-4.1536,0.3365,1.2640
1451,2589,4.5133,-8.9587,-13.4719,1.2599
1452,2608,4.5258,6.1352,1.6094,1.2321
1455,1042,4.3535,-0.0024,4.3510,1.2703
1457,3068,4.7083,2.1392,-2.5692,1.3125
1458,4395,4.3287,1.1477,5.4765,1.2531
1461,2205,4.3209,4.0198,-0.3011,1.2931
1462,4433,4.2548,2.6922,6.9470,1.2722
1463,4337,4.2631,5.1124,0.8493,1.2876
1465,169,4.2574,4.2061,-0.0513,1.3026
1466,3105,4.4850,-0.8752,-5.3602,1.3183
1467,1440,4.2392,1.0203,-3.2189,1.2665
1472,4006,4.2432,1.4267,5.6699,1.2724
1474,3414,4.5810,0.7174,5.2984,1.2843
1476,3316,4.4122,0.8869,5.2991,1.2886
1478,317,4.5011,-0.7992,-5.3003,1.3059
1479,896,4.2526,3.0267,7.2793,1.2458
1480,4527,4.3647,3.0329,-1.3318,1.2416
1486,559,4.2812,1.3988,-2.8824,1.2484
1490,4338,4.3609,1.1618,-3.1991,1.2540
1498,3525,5.0822,-3.4350,-8.5172,1.3033
1499,3995,4.5128,2.0207,6.5334,1.2923
1501,4052,4.3584,4.2641,-0.0943,1.2654
1503,143,4.8126,7.6458,2.8332,1.2568
1507,3326,4.2759,-3.6817,-7.9576,1.2856
1508,3945,4.6331,0.2019,-4.4312,1.2320
1519,627,4.2963,4.6262,8.9225,1.2452
1520,83,4.3523,0.5153,4.8676,1.2890
1523,4122,4.4748,0.4003,-4.0745,1.2816
1524,3108,6.8362,-1.2118,-8.0480,1.2292
1525,3244,4.3755,7.9572,12.3327,1.2692
1526,2713,4.6807,1.7047,-2.9759,1.2588
1527,2849,4.4124,-8.0168,-12.4292,1.3024
1533,3082,4.3736,1.9317,-2.4419,1.2063
1537,3384,6.2452,-1.5057,-7.7509,1.2035
1541,3069,4.9059,-4.1227,-9.0285,1.2867
1542,4224,4.8018,2.5584,-2.2434,1.2404
1544,1877,4.6552,2.6148,-2.0403,1.2203
1546,2574,4.6290,2.4662,-2.1628,1.2669
1547,2903,5.4722,-6.8617,-12.3339,1.1958
1560,4155,4.4521,0.7632,-3.6889,1.2081
1570,2824,4.6759,-4.3521,-9.0281,1.3140
1577,73,4.3808,4.7773,9.1582,1.2110
1578,4400,4.2420,-0.4357,-4.6777,1.2488
