molindx,Name,SMILES,MolarMass,CASNumber,ExperimentalSolubilityInWater,Temperature,ExperimentReference,Datagroup,SolvationEnergy,DipoleMoment,MolecularVolume,MolecularSurfaceArea,QXX,QYY,QZZ,HOMO,LUMO,gap,StandardInChIKey,CalLogP,CalMR,TPSA,LabuteASA,BalabanJIndex,BertzCTIndex,Isomer,Aromatic,Cyclic,ChargeNeutral,MadeOfKeyElements
19,Nitrothal-isopropyl,CC(C)OC(=O)C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)OC(C)C,295.2914,010552-74-6,2.699919396,293.15,OChem,G4,47.44656,9.939362426,205.692,356.955,2.751403619,10.77244217,-13.52384579,-8.159841701,-2.694368064,5.465473637,VJAWBEFMCIINFU-UHFFFAOYSA-N,2.7252,74.1994,95.74,121.5540504,3.202220827,524.3327019,1,True,True,True,True
20,Isopropyl (1-(4-nitro)phenylsulfonyl) cyclobutan,CC(C)OC(=O)C1(CCC1)S(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-],327.3514,160790-03-4,56.90025368,298.15,OChem,G4,79.37048,6.17021044,191.509,336.18,-36.05743838,25.26767807,10.78976031,-8.155574953,-2.875425917,5.280149037,XWDINLQQGHPOQQ-UHFFFAOYSA-N,2.2428,78.0922,103.58,127.8985503,2.387554294,688.5481766,1,True,True,True,True
21,Isopropyl (1-(4-nitro)phenylsulfonyl) cyclopropa,CC(C)OC(=O)C1(CC1)S(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-],313.3246,145348-27-2,17.19865536,298.15,OChem,G4,70.20752,3.475353035,181.421,316.084,-32.8584805,-2.556739822,35.41522032,-8.113397283,-2.806891285,5.306505999,WUAIGAOSYROCOI-UHFFFAOYSA-N,1.8527,73.4752,103.58,121.5336082,2.335746136,673.1179656,1,True,True,True,True
22,Isopropyl (1-(4-nitro)phenylsulfonyl) cyclohexan,CC(C)OC(=O)C1(CCCCC1)S(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-],355.405,160790-04-5,4.689467532,298.15,OChem,G4,65.6888,6.163972373,207.406,367.557,-40.2045471,5.431425015,34.77312208,-8.113133333,-2.850111151,5.263022181,DUNHJGJBRJZBJD-UHFFFAOYSA-N,3.023,87.3262,103.58,140.6284345,2.470406455,717.4394601,1,True,True,True,True
23,O-DINITROBENZENE,C1=CC=C(C(=C1)[N+](=O)[O-])[N+](=O)[O-],168.1086,000528-29-0,132.9198772,298.15,OChem,G4,45.43824,9.062285424,112.327,188.189,8.27731648,-8.527737388,0.250420908,-8.112869382,-2.86746114,5.245408242,IZUKQUVSCNEFMJ-UHFFFAOYSA-N,1.503,39.7508,86.28,66.73735456,3.267076196,303.0748997,1,True,True,True,True
24,Methyl (1-(4-nitro)phenylsulfonyl) cyclopropane,COC(=O)C1(CC1)S(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-],285.271,145348-26-1,119.0029218,298.15,OChem,G4,69.2452,8.060202022,172.852,295.346,-39.79902847,27.61258802,12.18644045,-8.062234409,-2.800600009,5.2616344,JPEDHHGXVGENMN-UHFFFAOYSA-N,1.0741,64.2632,103.58,108.803724,2.407666236,629.6541861,1,True,True,True,True
26,PYRIDINE-2.6-DICARBOXYLIC ACID,C1=CC(=NC(=C1)C(=O)O)C(=O)O,167.12,000499-83-2,5000.0,298.15,BEMIS.AG ET AL (1982),G2,60.12408,4.931519989,116.161,195.056,-35.58328617,30.82500687,4.758279308,-8.055853336,-1.887644206,6.16820913,WJJMNDUMQPNECX-UHFFFAOYSA-N,0.478,38.1556,87.49,67.29244703,3.121805775,304.6831902,1,True,True,True,True
28,Benzenamine. N-ethyl-N.2.4.6-tetranitro-,CCN(C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],301.172,006052-13-7,59.99493581,295.15,OChem,G4,66.14904,5.821166569,168.869,290.516,30.5704493,-26.83246402,-3.737985284,-8.054343103,-3.365037916,4.689305187,AWOPOGMEMRZDQH-UHFFFAOYSA-N,1.4292,66.4196,175.8,114.5031599,3.805066044,608.5496611,1,True,True,True,True
29,1(3H)-Isobenzofuranone. 3.3-dimethyl-6-nitro-,CC1(C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)O1)C,207.1854,099185-20-3,183.9751426,298.15,OChem,G4,53.01128,8.703511026,137.428,235.4,-27.29179806,11.97489849,15.31689957,-8.040092493,-2.602381559,5.437710934,FENLPGARWVQRJL-UHFFFAOYSA-N,2.0003,51.5379,69.44,85.81338348,2.603303854,464.4902346,1,True,True,True,True
30,Isopropyl (1-(4-nitro)phenylsulfonyl) cyclohepta,CC(C)OC(=O)C1(CCCCCC1)S(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-],369.4318,160790-05-6,3.14003346,298.15,OChem,G4,65.77248,6.127910949,216.213,384.939,-39.94816338,4.389498024,35.55866535,-8.038672058,-2.851768326,5.186903732,RWOBYZRHHZGFHD-UHFFFAOYSA-N,3.4131,91.9432,103.58,146.9933767,2.501613109,730.9065065,1,True,True,True,True
31,3-nitro-2H-pyrazole,C1=C(NN=C1)[N+](=O)[O-],113.0756,026621-44-3,5860.0,293.15,https://echa.europa.eu/registration-dossier/-/registered-dossier/22201//?documentUUID=4dd64aea-ff06-45b0-b945-5a735567f937,G5,36.23344,2.757818063,82.337,138.992,-14.0630385,11.75594337,2.307095128,-8.032511397,-2.584862316,5.447649081,MZRUFMBFIKGOAL-UHFFFAOYSA-N,0.3179,25.2421,71.82,44.48164081,2.928375237,180.4184221,1,True,True,True,True
32,1(3H)-Isobenzofuranone. 3-methyl-6-nitro-,CC1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)O1,193.1586,058335-58-3,467.9657289,298.15,OChem,G4,54.05728,8.5354088,127.041,215.903,-29.07841403,15.57323164,13.50518239,-8.030878713,-2.603767164,5.427111549,DJBQBNLHDSCAJI-UHFFFAOYSA-N,1.8262,46.9269,69.44,79.44844136,2.551795188,426.8201728,2,True,True,True,True
33,Phthalide. 3-ethyl-6-nitro-,CCC1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)O1,207.1854,099185-21-4,583.927795,298.15,OChem,G4,52.34184,8.571234827,130.52,225.96,-27.58026076,11.13903799,16.44122277,-8.027550759,-2.621986284,5.405564474,OTOYVMKWIRQFSC-UHFFFAOYSA-N,2.2163,51.5439,69.44,85.81338348,2.498191072,441.0485708,2,True,True,True,True
34,1(3H)-ISOBENZOFURANONE. 6-NITRO-,C1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)O1,179.13,000610-93-5,400.0,298.15,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,55.2288,8.286848177,125.403,209.062,-31.0245153,18.72021184,12.30430346,-8.024704446,-2.593978951,5.430725495,RNWGZXAHUPFXLL-UHFFFAOYSA-N,1.2652,42.2159,69.44,73.08349925,2.535184303,399.1305421,1,True,True,True,True
35,phthalic anhydride,C1=CC=C2C(=C1)C(=O)OC2=O,148.12,000085-44-9,6000.0,298.15,Kirk-Othmer on-line,G2,39.91536,7.71532551,110.925,181.997,4.284189027,2.023319164,-6.307508191,-8.023931642,-2.473254214,5.550677428,LGRFSURHDFAFJT-UHFFFAOYSA-N,0.9972,36.188,43.37,62.59204562,2.694677255,307.9453367,1,True,True,True,True
36,2.4-DINITROTOLUENE,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],182.14,000121-14-2,200.0,298.15,PHELAN.JM & BARNETT.JL (2001),G2,39.58064,6.543605467,122.477,207.098,-24.50325574,13.35921879,11.14403695,-8.02266087,-2.686699892,5.335960978,RMBFBMJGBANMMK-UHFFFAOYSA-N,1.81142,44.4878,86.28,73.10229668,3.267052212,374.7553336,1,True,True,True,True
38,Phthalic acid. 4-nitro-. 1-methyl ester,COC(=O)C1=C(C=C(C=C1)[N+](=O)[O-])C(=O)O,225.1574,090072-77-8,1980.095902,293.15,OChem,G4,61.17008,4.014147034,142.111,242.807,-35.3907681,7.97899357,27.41177453,-8.010094646,-2.742106384,5.267988262,CEEJSCAKNYSVHF-UHFFFAOYSA-N,1.0796,51.3952,106.74,89.41002837,3.357712531,467.0670566,1,True,True,True,True
41,SACCHARIN,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,183.18,000081-07-2,4000.0,298.15,SEIDELL.A (1941),G2,61.79768,5.40265102,120.896,200.471,28.29361566,-16.80798747,-11.48562818,-7.997901217,-1.937278343,6.060622874,CVHZOJJKTDOEJC-UHFFFAOYSA-N,0.1187,41.094,63.24,69.26267426,2.828397697,449.4742222,1,True,True,True,True
42,1.3.5-TRIAZINE-2.4.6(1H.3H.5H)-TRIONE. DIHYDRATE,C1(=O)NC(=O)NC(=O)N1,129.08,000108-80-5,5000.0,298.15,MERCK INDEX (1996),G2,65.73064,0.015627852,89.137,152.349,-4.795924236,-4.342772056,9.138696292,-7.992554177,-0.102652449,7.889901728,ZFSLODLOARCGLH-UHFFFAOYSA-N,-2.2485,28.3041,98.58,47.57491336,3.71800926,276.8037298,1,True,True,True,True
43,M-NITROBENZOIC ACID,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)O,167.12,000121-92-6,3580.0,298.15,YALKOWSKY.SH & HE.Y (2003),G2,45.98216,7.220044364,113.07,189.877,-3.349157149,2.741848472,0.607308676,-7.990535091,-2.550856229,5.439678862,AFPHTEQTJZKQAQ-UHFFFAOYSA-N,1.293,40.0557,80.44,67.40507681,3.121805775,304.6831902,1,True,True,True,True
44,1.3.5-BENZENETRICARBOXYLIC ACID,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,210.14,000554-95-0,26300.0,296.15,YALKOWSKY.SH & DANNENFELSER.RM (1992),G2,70.66776,4.060125966,140.32,238.291,30.96615685,-25.5419517,-5.424205152,-7.978472278,-1.812831631,6.165640646,QMKYBPDZANOJGF-UHFFFAOYSA-N,0.7812,47.3199,111.9,83.39349702,3.387380075,368.9086864,1,True,True,True,True
46,1.3-Benzenedicarboxylic acid. 2-nitro-,C1=CC(=C(C(=C1)C(=O)O)[N+](=O)[O-])C(=O)O,211.1306,021161-11-5,2159.987222,298.15,OChem,G4,78.57552,9.840914831,129.03,217.975,34.25546725,-16.36084873,-17.89461852,-7.976880411,-2.065042397,5.911838014,CAHWDGJDQYAFHM-UHFFFAOYSA-N,0.9912,47.015,117.74,82.72577478,3.555945129,420.1951583,1,True,True,True,True
47,P-NITROBENZOIC ACID,C1=CC(=CC=C1C(=O)O)[N+](=O)[O-],167.12,000062-23-7,200.0,288.15,YALKOWSKY.SH & HE.Y (2003),G2,45.43824,4.862594908,120.896,203.673,-20.69614331,15.79712906,4.899014254,-7.964831203,-2.786363005,5.178468198,OTLNPYWUJOZPPA-UHFFFAOYSA-N,1.293,40.0557,80.44,67.40507681,3.006149834,283.6831902,1,True,True,True,True
48,3-NITROPHTHALIC ACID,C1=CC(=C(C(=C1)[N+](=O)[O-])C(=O)O)C(=O)O,211.1306,000603-11-2,20116.44258,298.15,OChem,G4,73.09448,7.996701386,127.114,215.978,15.84128231,-2.001743274,-13.83953903,-7.961557671,-2.722729146,5.238828526,KFIRODWJCYBBHY-UHFFFAOYSA-N,0.9912,47.015,117.74,82.72577478,3.555945129,420.1951583,1,True,True,True,True
49,dimethyl 2-nitrobenzene-1.4-dicarboxylate,COC(=O)C1=CC(=C(C=C1)C(=O)OC)[N+](=O)[O-],239.1842,005292-45-5,349.0,293.15,https://echa.europa.eu/registration-dossier/-/registered-dossier/5342//?documentUUID=48c77e0f-9add-45fd-ad16-495c5f6a9cf7,G5,55.35432,8.002517876,158.989,271.007,27.3201168,-18.76575181,-8.554364992,-7.955141223,-2.76730414,5.187837083,PAYWCKGMOYQZAW-UHFFFAOYSA-N,1.168,55.7754,95.74,96.09428196,3.315323157,481.6845088,1,True,True,True,True
50,1.3-Benzenedicarboxylic acid. 4-nitro-,C1=CC(=C(C=C1C(=O)O)C(=O)O)[N+](=O)[O-],211.1306,004315-09-7,9670.55016,298.15,OChem,G4,68.28288,5.99647532,133.915,227.75,29.74725109,-20.65138415,-9.095866947,-7.955002445,-2.940863892,5.014138554,OCJFXVHDIVAONP-UHFFFAOYSA-N,0.9912,47.015,117.74,82.72577478,3.396348978,452.4451583,1,True,True,True,True
51,Phthalic acid. 3-nitro-. isopentyl ester,CC(C)CCOC(=O)C1=C(C=CC=C1C(O)=O)N(=O)=O,281.2646,006744-92-9,240.0021185,293.15,OChem,G4,64.34992,7.871107129,178.185,312.329,34.1791489,-7.699339831,-26.47980907,-7.953938479,-2.759826447,5.194112032,GJMKEWQCBMBZCD-UHFFFAOYSA-N,2.4959,69.7932,106.74,114.8697968,3.095891569,505.4129605,1,True,True,True,True
52,1.2-Benzenedicarboxylic acid. 3-nitro-. 2-methyl,COC(=O)C1=C(C=CC=C1[N+](=O)[O-])C(=O)O,225.1574,006744-85-0,1850.061753,293.15,OChem,G4,65.0612,7.953089382,138.685,236.2,21.40035729,-4.749484828,-16.65087246,-7.952934379,-2.713161345,5.239773033,UTEQVEMDYYOJGM-UHFFFAOYSA-N,1.0796,51.3952,106.74,89.41002837,3.528050337,434.8170566,1,True,True,True,True
53,Phthalic acid. 4-nitro-. 2-methyl ester,COC(=O)C1=C(C=CC(=C1)[N+](=O)[O-])C(=O)O,225.1574,101714-14-1,4280.418427,293.15,OChem,G4,61.12824,6.886138554,141.56,241.184,-21.712024,-1.341729098,23.0537531,-7.948972399,-2.888696917,5.060275482,DBRYTMUUOGDANT-UHFFFAOYSA-N,1.0796,51.3952,106.74,89.41002837,3.376107723,467.0670566,1,True,True,True,True
54,4.4.7-trioxo-5.6-dihydrothieno[3.2-b]thiopyran-2-sulfonamide,C1CS(=O)(=O)C2=C(C1=O)SC(=C2)S(=O)(=O)N,281.32,105951-39-1,60.0,298.15,PONTICELLO.GS ET AL. (1987),G2,106.02256,7.580694346,167.259,277.647,37.65556289,-1.020064404,-36.63549849,-7.947214542,-2.789707286,5.157507257,HYVMOJOTZLNZPF-UHFFFAOYSA-N,-0.2444,56.6925,111.37,96.04834865,2.761473636,666.8755074,1,True,True,True,True
56,Phthalic acid. 3-nitro-. 2-isobutyl ester,CC(C)COC(=O)C1=C(C=CC=C1[N+](=O)[O-])C(=O)O,267.2378,006744-88-3,239.9926205,293.15,OChem,G4,64.4336,7.785647198,170.895,297.893,31.25126731,-7.955863637,-23.29540367,-7.945581858,-2.736209673,5.209372185,ROAZGIBVEUZIRR-UHFFFAOYSA-N,2.1058,65.1762,106.74,108.5048547,3.245937594,490.7009352,1,True,True,True,True
58,2.4.6-TRINITRORESORCINOL,OC1=C(C(O)=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,245.11,000082-71-3,5340.0,298.15,YALKOWSKY.SH & DANNENFELSER.RM (1992),G2,57.27896,2.68047788,134.524,226.64,2.970609289,21.29778075,-24.26839004,-7.942479759,-3.122124469,4.82035529,IXHMHWIBCIYOAZ-UHFFFAOYSA-N,0.8224,49.7348,169.88,90.97879779,3.756255092,500.3023207,1,True,True,True,True
59,Phthalic acid. 3-nitro-. 2-butyl ester,CCCCOC(=O)C1=C(C=CC=C1[N+](=O)[O-])C(=O)O,267.2378,006828-47-3,510.0325434,293.15,OChem,G4,64.26624,7.68217802,168.541,293.897,30.79823347,-7.127418696,-23.67081478,-7.941445726,-2.740718602,5.200727123,CLZJIDPTNPRSOZ-UHFFFAOYSA-N,2.2499,65.2462,106.74,108.5048547,3.171491465,478.6911141,1,True,True,True,True
60,Phthalic acid. 3-sulfamoyl-,NS(=O)(=O)C1=C(C(O)=O)C(=CC=C1)C(O)=O,245.2064,094617-43-3,3300.135723,286.15,OChem,G4,94.60024,8.919615938,140.66,240.878,-24.10156247,6.626818435,17.47474404,-7.936457876,-1.810954589,6.125503287,ULTODHINOGWADN-UHFFFAOYSA-N,-0.2696,51.7338,134.76,90.17346564,3.716571637,561.8913094,1,True,True,True,True
61,3-[4-methoxy-6-(trifluoromethyl)-1.3.5-triazin-2-yl]-1-[2-(trifluoromethyl)phenyl]sulfonylurea,COC1=NC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(F)(F)F)C(F)(F)F,445.3,142469-14-5,78.3,293.15,OChem,G4,84.64232,12.28521365,226.141,383.761,33.04965063,-35.08091355,2.031262912,-7.935200709,-1.825467789,6.10973292,KVEQCVKVIFQSGC-UHFFFAOYSA-N,2.4282,82.1652,123.17,157.7359897,2.303042516,1025.085189,1,True,True,True,True
62,Phthalic acid. 3-nitro-. 2 ethyl ester,CCOC(=O)C1=C(C=CC=C1C(O)=O)N(=O)=O,239.1842,006828-46-2,2900.230315,293.15,OChem,G4,64.60096,7.675580151,153.25,263.028,24.9403136,-6.359975886,-18.58033772,-7.935149008,-2.733047709,5.202101299,ANIGGJRHTJBCOD-UHFFFAOYSA-N,1.4697,56.0122,106.74,95.77497048,3.43471711,449.4345088,1,True,True,True,True
63,Phthalic acid. 3-nitro-. 2-propyl ester,CCCOC(=O)C1=C(C=CC=C1[N+](=O)[O-])C(=O)O,253.211,006744-86-1,1139.94151,293.15,OChem,G4,63.88968,7.683079608,158.026,273.538,28.07073442,-6.702892397,-21.36784202,-7.933059172,-2.72992384,5.203135332,XPXSGQWKXANSCQ-UHFFFAOYSA-N,1.8598,60.6292,106.74,102.1399126,3.308852688,464.0568468,1,True,True,True,True
64,Phthalic acid. 3-nitro-. 2-isopropyl ester,CC(C)OC(=O)C1=C(C=CC=C1[N+](=O)[O-])C(=O)O,253.211,006744-87-2,819.9409342,293.15,OChem,G4,65.22856,7.954473665,158.809,275.18,28.67801152,-8.038067428,-20.63994409,-7.932008812,-2.712612491,5.219396321,VLYOOXLMUKHFNY-UHFFFAOYSA-N,1.8582,60.6072,106.74,102.1399126,3.400786602,476.0049436,1,True,True,True,True
65,1.2-DICYANOBENZENE,C1=CC=C(C(=C1)C#N)C#N,128.13,000091-15-6,395.0,298.15,CHEMICALS INSPECTION AND TESTING INSTITU (1992),G1,45.31272,9.93923132,118.068,189.51,-5.972935598,2.387582718,3.58535288,-7.925597806,-2.114758985,5.810838821,XQZYPMVTSDWCCE-UHFFFAOYSA-N,1.42996,35.872,47.58,58.94644671,3.284977739,281.7648556,1,True,True,True,True
66,2.6-DINITROTOLUENE,CC1=C(C=CC=C1[N+](=O)[O-])[N+](=O)[O-],182.14,000606-20-2,204.0,298.15,LUNING PRAK.DJ & O'SULLIVAN.DW (2007),G1,40.1664,4.020743701,120.231,203.978,-29.3904941,3.501007105,25.88948699,-7.92073785,-2.543961677,5.376776174,XTRDKALNCIHHNI-UHFFFAOYSA-N,1.81142,44.4878,86.28,73.10229668,3.345441971,342.5053336,1,True,True,True,True
67,1-methyl-4-methylsulfonyl-2-nitrobenzene,CC1=C(C=C(C=C1)S(=O)(=O)C)[N+](=O)[O-],215.2234,001671-49-4,370.0,298.15,https://echa.europa.eu/registration-dossier/-/registered-dossier/13849/4/9/?documentUUID=59805ad6-86d4-48f0-a718-ab1bdef99bb6,G5,67.19504,8.106226311,139.955,238.694,-32.06817678,25.5049947,6.563182089,-7.91718132,-2.523506867,5.393674453,OXBDLEXAVKAJFD-UHFFFAOYSA-N,1.30672,50.9432,77.28,81.43966145,3.416533376,478.1146885,1,True,True,True,True
69,1.3-BENZENEDISULFONAMIDE,C1=CC(=CC(=C1)S(=O)(=O)N)S(=O)(=O)N,236.2602,003701-01-7,1599.891633,298.15,OChem,G4,113.34456,9.04095231,143.015,244.882,-13.83551819,-13.97094111,27.8064593,-7.902868124,-1.447834783,6.455033341,HUYYFHGIHVULSU-UHFFFAOYSA-N,-1.0186,49.1884,120.32,81.6327363,3.436614784,499.6991659,1,True,True,True,True
70,2-[(4-methoxy-6-methyl-1.3.5-triazin-2-yl)carbamoylsulfamoyl]benzoic acid,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)O,367.3356,079510-48-8,172.0,298.15,OChem,G4,97.278,10.14139737,208.075,354.842,54.30101227,-42.39338385,-11.90762842,-7.895567305,-1.866216044,6.029351261,UWHURBUBIHUHSU-UHFFFAOYSA-N,0.39722,83.8575,160.47,141.6985332,2.227232096,930.2568691,1,True,True,True,True
71,4-CYANOPYRIDINE,C1=CN=CC=C1C#N,104.11,000100-48-1,40000.0,293.15,KIRK-OTHMER; 4th ed. 20:645 (1996),G2,32.34232,2.459439968,94.599,153.431,-25.96157667,22.01795276,3.943623911,-7.895480229,-1.89297764,6.002502589,GPHQHTOMRSGBNZ-UHFFFAOYSA-N,0.95328,28.952,36.68,47.4085729,3.049388908,197.518562,1,True,True,True,True
